	Age	Gender	Sentiment	Food
2751	21	1	0	Lime Pickle
2752	30	0	1	Mint Sauce
2753	54	1	0	Mint Sauce
2754	67	1	1	Mint Sauce
2755	41	0	0	Mango Chutney
2756	31	0	4	Mint Sauce
2757	48	1	1	Mango Chutney
2758	40	0	1	Mango Chutney
2759	44	1	3	Mint Sauce
2760	17	0	3	Onion Chutney
2761	49	1	2	Red Sauce
2762	26	0	2	Onion Chutney
2763	41	0	2	Mango Chutney
2764	29	0	5	Mint Sauce
2765	45	0	1	Mango Chutney
2766	57	0	1	Mint Sauce
2767	22	0	1	Mango Chutney
2768	27	0	5	Mango Chutney
2769	42	0	0	Red Sauce
2770	33	1	5	Mint Sauce
2771	68	0	5	Mint Sauce
2772	68	1	2	Mango Chutney
2773	45	0	1	Mango Chutney
2774	22	1	3	Onion Chutney
2775	66	0	4	Mint Sauce
2776	60	0	0	Onion Chutney
2777	52	1	5	Lime Pickle
2778	45	1	3	Onion Chutney
2779	68	0	4	Onion Chutney
2780	28	1	3	Mint Sauce
2781	41	1	5	Mango Chutney
2782	64	1	2	Mint Sauce
2783	66	0	0	Mango Chutney
2784	27	0	0	Mint Sauce
2785	58	0	1	Mint Sauce
2786	22	1	4	Mint Sauce
2787	50	1	0	Mango Chutney
2788	29	0	5	Onion Chutney
2789	43	1	3	Mint Sauce
2790	28	0	1	Onion Chutney
2791	48	0	0	Red Sauce
2792	17	0	4	Red Sauce
2793	45	1	4	Mango Chutney
2794	57	1	0	Lime Pickle
2795	33	0	3	Lime Pickle
2796	46	0	0	Mint Sauce
2797	29	1	3	Mango Chutney
2798	63	0	1	Mango Chutney
2799	47	1	2	Mango Chutney
2800	36	0	3	Mango Chutney
2801	45	1	2	Onion Chutney
2802	18	1	5	Mint Sauce
2803	17	0	2	Lime Pickle
2804	32	1	3	Mango Chutney
2805	18	0	3	Red Sauce
2806	41	0	1	Mint Sauce
2807	21	0	1	Onion Chutney
2808	30	0	4	Onion Chutney
2809	58	1	4	Red Sauce
2810	40	1	5	Mango Chutney
2811	20	0	1	Mango Chutney
2812	56	1	0	Mango Chutney
2813	19	1	1	Mango Chutney
2814	16	1	0	Mint Sauce
2815	38	0	2	Onion Chutney
2816	53	1	5	Lime Pickle
2817	49	0	3	Mango Chutney
2818	59	1	0	Mango Chutney
2819	35	0	3	Mango Chutney
2820	35	1	2	Mint Sauce
2821	67	1	2	Mango Chutney
2822	53	1	5	Mango Chutney
2823	61	1	3	Mint Sauce
2824	26	1	3	Mint Sauce
2825	31	1	3	Onion Chutney
2826	36	0	2	Mint Sauce
2827	45	1	3	Red Sauce
2828	38	1	1	Mango Chutney
2829	67	1	2	Onion Chutney
2830	60	1	3	Mango Chutney
2831	53	1	0	Mango Chutney
2832	15	1	0	Mango Chutney
2833	23	1	4	Onion Chutney
2834	57	0	2	Onion Chutney
2835	25	1	5	Lime Pickle
2836	49	1	1	Mango Chutney
2837	25	0	1	Red Sauce
2838	55	1	0	Mint Sauce
2839	30	1	3	Mango Chutney
2840	62	1	3	Mango Chutney
2841	58	1	3	Onion Chutney
2842	61	0	1	Red Sauce
2843	63	0	5	Mango Chutney
2844	39	0	1	Mint Sauce
2845	35	1	0	Mango Chutney
2846	53	1	1	Mint Sauce
2847	31	0	3	Mango Chutney
2848	48	1	1	Mint Sauce
2849	25	0	0	Mango Chutney
2850	32	1	3	Onion Chutney
2851	19	0	2	Lime Pickle
2852	17	0	5	Mango Chutney
2853	57	1	0	Onion Chutney
2854	47	0	4	Onion Chutney
2855	64	0	4	Mint Sauce
2856	40	0	3	Mint Sauce
2857	21	0	1	Red Sauce
2858	45	1	4	Onion Chutney
2859	67	0	0	Mango Chutney
2860	43	0	1	Mint Sauce
2861	42	1	4	Mango Chutney
2862	45	1	4	Mint Sauce
2863	35	0	3	Mint Sauce
2864	49	1	3	Onion Chutney
2865	18	0	1	Lime Pickle
2866	28	1	2	Red Sauce
2867	24	1	4	Mango Chutney
2868	25	0	2	Mint Sauce
2869	55	0	4	Onion Chutney
2870	35	0	3	Mango Chutney
2871	25	1	3	Red Sauce
2872	47	1	1	Red Sauce
2873	15	0	4	Lime Pickle
2874	37	0	3	Onion Chutney
2875	43	0	0	Mango Chutney
2876	61	1	5	Onion Chutney
2877	31	1	1	Mango Chutney
2878	54	0	2	Mint Sauce
2879	46	0	5	Mango Chutney
2880	31	1	2	Mint Sauce
2881	42	1	3	Mango Chutney
2882	20	1	5	Mint Sauce
2883	26	1	4	Mango Chutney
2884	68	0	4	Lime Pickle
2885	47	1	2	Mango Chutney
2886	59	0	0	Red Sauce
2887	26	1	3	Mango Chutney
2888	51	1	0	Mango Chutney
2889	55	0	4	Mint Sauce
2890	46	0	5	Mango Chutney
2891	65	0	0	Mango Chutney
2892	49	1	3	Onion Chutney
2893	23	1	4	Mint Sauce
2894	63	0	5	Mint Sauce
2895	27	0	5	Mint Sauce
2896	31	1	3	Mango Chutney
2897	68	0	4	Mango Chutney
2898	32	1	2	Onion Chutney
2899	41	1	5	Mango Chutney
2900	31	0	3	Mango Chutney
2901	24	1	4	Mango Chutney
2902	28	1	4	Red Sauce
2903	65	0	5	Mango Chutney
2904	69	0	5	Mint Sauce
2905	36	0	4	Mint Sauce
2906	24	0	1	Mango Chutney
2907	35	0	2	Mint Sauce
2908	63	1	3	Onion Chutney
2909	42	1	4	Lime Pickle
2910	36	0	1	Mango Chutney
2911	18	1	1	Mango Chutney
2912	65	1	2	Mango Chutney
2913	65	1	4	Mango Chutney
2914	63	0	5	Onion Chutney
2915	27	1	3	Mint Sauce
2916	27	1	2	Mango Chutney
2917	45	1	4	Mango Chutney
2918	33	0	5	Mango Chutney
2919	62	1	4	Mint Sauce
2920	16	1	1	Mango Chutney
2921	38	0	1	Mint Sauce
2922	21	1	4	Mango Chutney
2923	56	1	0	Mango Chutney
2924	38	0	2	Mint Sauce
2925	50	1	2	Mint Sauce
2926	33	0	0	Onion Chutney
2927	69	1	2	Onion Chutney
2928	29	1	1	Onion Chutney
2929	59	0	1	Mango Chutney
2930	17	0	2	Lime Pickle
2931	58	0	1	Mango Chutney
2932	41	0	2	Red Sauce
2933	51	1	2	Mango Chutney
2934	60	0	1	Onion Chutney
2935	48	0	5	Mint Sauce
2936	25	0	0	Onion Chutney
2937	69	1	2	Mint Sauce
2938	29	0	5	Mango Chutney
2939	25	1	3	Mint Sauce
2940	47	0	5	Mango Chutney
2941	48	1	2	Onion Chutney
2942	58	0	0	Mango Chutney
2943	69	0	5	Mango Chutney
2944	49	1	3	Red Sauce
2945	32	1	1	Red Sauce
2946	15	1	1	Mint Sauce
2947	24	1	5	Mint Sauce
2948	39	0	1	Mango Chutney
2949	44	1	5	Mango Chutney
2950	30	1	2	Lime Pickle
2951	49	1	3	Mango Chutney
2952	17	1	0	Mango Chutney
2953	16	0	4	Mango Chutney
2954	36	1	0	Mango Chutney
2955	48	0	5	Onion Chutney
2956	65	1	4	Onion Chutney
2957	50	1	2	Mint Sauce
2958	29	0	0	Mango Chutney
2959	63	1	2	Mango Chutney
2960	37	1	5	Mint Sauce
2961	24	0	1	Mango Chutney
2962	56	0	1	Mango Chutney
2963	21	0	1	Mango Chutney
2964	26	1	3	Mint Sauce
2965	38	1	4	Mango Chutney
2966	24	0	1	Mango Chutney
2967	24	1	3	Mint Sauce
2968	18	1	0	Mango Chutney
2969	57	1	4	Mango Chutney
2970	21	0	3	Mint Sauce
2971	48	0	4	Mint Sauce
2972	65	0	1	Onion Chutney
2973	55	0	3	Mango Chutney
2974	56	1	5	Mango Chutney
2975	16	1	5	Mango Chutney
2976	43	0	0	Mango Chutney
2977	29	0	0	Red Sauce
2978	59	1	0	Onion Chutney
2979	53	1	2	Mango Chutney
2980	45	1	3	Onion Chutney
2981	66	0	4	Onion Chutney
2982	61	1	5	Mango Chutney
2983	32	0	3	Mint Sauce
2984	28	1	1	Mint Sauce
2985	41	1	5	Mango Chutney
2986	32	0	5	Lime Pickle
2987	52	0	4	Mango Chutney
2988	40	0	1	Mango Chutney
2989	51	1	2	Red Sauce
2990	35	1	5	Red Sauce
2991	34	0	4	Mint Sauce
2992	26	0	0	Red Sauce
2993	69	0	5	Mango Chutney
2994	19	1	1	Onion Chutney
2995	34	1	0	Red Sauce
2996	26	0	1	Onion Chutney
2997	59	0	2	Red Sauce
2998	32	1	2	Lime Pickle
2999	50	1	1	Mango Chutney
3000	54	0	2	Mango Chutney
3001	62	0	1	Red Sauce
3002	56	1	5	Mango Chutney
3003	57	1	5	Red Sauce
3004	48	1	1	Mango Chutney
3005	52	1	0	Mint Sauce
3006	59	1	5	Onion Chutney
3007	42	0	1	Mango Chutney
3008	54	1	0	Mint Sauce
3009	28	1	3	Lime Pickle
3010	36	0	4	Mango Chutney
3011	54	1	0	Mango Chutney
3012	26	0	1	Mango Chutney
3013	39	1	5	Red Sauce
3014	67	1	2	Mango Chutney
3015	21	0	3	Mango Chutney
3016	46	0	5	Mango Chutney
3017	19	0	3	Mint Sauce
3018	19	0	1	Mint Sauce
3019	18	0	2	Onion Chutney
3020	64	1	2	Mint Sauce
3021	63	0	5	Red Sauce
3022	38	0	1	Mango Chutney
3023	61	0	1	Mango Chutney
3024	40	0	2	Onion Chutney
3025	57	1	5	Lime Pickle
3026	28	1	3	Mint Sauce
3027	24	0	1	Red Sauce
3028	30	1	1	Red Sauce
3029	49	0	5	Mango Chutney
3030	66	0	5	Onion Chutney
3031	25	0	1	Red Sauce
3032	56	0	2	Mint Sauce
3033	21	1	5	Mango Chutney
3034	51	1	0	Red Sauce
3035	27	0	5	Mint Sauce
3036	37	1	5	Onion Chutney
3037	15	0	4	Mango Chutney
3038	48	0	0	Mango Chutney
3039	45	0	5	Red Sauce
3040	28	0	1	Lime Pickle
3041	66	1	3	Onion Chutney
3042	28	1	2	Mango Chutney
3043	67	0	4	Mango Chutney
3044	51	1	1	Onion Chutney
3045	59	1	5	Red Sauce
3046	34	0	3	Mango Chutney
3047	34	0	2	Onion Chutney
3048	43	0	5	Mango Chutney
3049	49	0	4	Mango Chutney
3050	45	1	2	Mango Chutney
3051	22	0	3	Mango Chutney
3052	32	0	5	Mango Chutney
3053	58	1	4	Onion Chutney
3054	30	0	0	Mint Sauce
3055	45	1	4	Mango Chutney
3056	15	0	5	Red Sauce
3057	61	0	0	Mango Chutney
3058	19	0	2	Onion Chutney
3059	40	0	2	Mango Chutney
3060	32	0	5	Mint Sauce
3061	16	1	5	Onion Chutney
3062	65	0	5	Mango Chutney
3063	61	1	5	Red Sauce
3064	54	1	5	Lime Pickle
3065	15	0	4	Mint Sauce
3066	45	0	1	Red Sauce
3067	18	0	4	Mango Chutney
3068	20	1	5	Red Sauce
3069	33	0	4	Mango Chutney
3070	45	1	5	Mint Sauce
3071	31	1	1	Mint Sauce
3072	62	0	0	Onion Chutney
3073	21	0	1	Onion Chutney
3074	20	0	4	Onion Chutney
3075	29	1	3	Onion Chutney
3076	61	1	4	Mango Chutney
3077	22	1	4	Red Sauce
3078	48	1	3	Mango Chutney
3079	66	0	4	Onion Chutney
3080	48	1	1	Red Sauce
3081	19	1	0	Mint Sauce
3082	36	0	3	Mint Sauce
3083	41	1	5	Mint Sauce
3084	67	1	1	Onion Chutney
3085	30	1	3	Mango Chutney
3086	58	1	4	Mango Chutney
3087	16	0	4	Onion Chutney
3088	34	0	5	Mango Chutney
3089	53	1	2	Onion Chutney
3090	34	0	4	Mint Sauce
3091	21	1	0	Mint Sauce
3092	15	0	2	Mint Sauce
3093	15	0	4	Red Sauce
3094	54	1	0	Onion Chutney
3095	21	0	1	Red Sauce
3096	64	0	0	Onion Chutney
3097	21	1	5	Mint Sauce
3098	58	1	5	Red Sauce
3099	30	0	4	Mango Chutney
3100	25	0	1	Mango Chutney
3101	61	1	3	Lime Pickle
3102	51	0	3	Mango Chutney
3103	40	1	5	Lime Pickle
3104	41	1	5	Mango Chutney
3105	42	1	5	Mango Chutney
3106	53	0	2	Mango Chutney
3107	67	0	5	Mint Sauce
3108	41	0	0	Red Sauce
3109	51	0	5	Onion Chutney
3110	53	1	2	Red Sauce
3111	32	1	1	Mint Sauce
3112	69	1	0	Mango Chutney
3113	32	1	1	Mint Sauce
3114	16	1	0	Mint Sauce
3115	24	1	3	Onion Chutney
3116	41	1	0	Mint Sauce
3117	51	0	5	Mango Chutney
3118	61	1	3	Mango Chutney
3119	56	1	4	Lime Pickle
3120	58	0	2	Mint Sauce
3121	47	0	5	Mint Sauce
3122	16	0	2	Lime Pickle
3123	31	0	4	Mango Chutney
3124	58	0	0	Mint Sauce
3125	59	1	3	Mango Chutney
3126	30	1	3	Mango Chutney
3127	65	1	1	Mango Chutney
3128	28	1	3	Onion Chutney
3129	50	1	0	Mango Chutney
3130	40	1	0	Mango Chutney
3131	34	0	5	Lime Pickle
3132	33	1	0	Mint Sauce
3133	53	0	3	Mango Chutney
3134	33	1	0	Mint Sauce
3135	52	0	5	Mango Chutney
3136	58	1	0	Mango Chutney
3137	26	0	5	Onion Chutney
3138	31	1	1	Red Sauce
3139	45	1	4	Mango Chutney
3140	67	0	0	Onion Chutney
3141	33	0	3	Mint Sauce
3142	60	0	0	Mint Sauce
3143	25	1	2	Mango Chutney
3144	48	1	1	Mango Chutney
3145	21	0	3	Mint Sauce
3146	55	0	4	Mango Chutney
3147	20	1	0	Red Sauce
3148	26	0	5	Onion Chutney
3149	65	0	0	Mango Chutney
3150	18	0	4	Mango Chutney
3151	62	0	0	Mango Chutney
3152	69	0	3	Mint Sauce
3153	68	1	3	Onion Chutney
3154	69	1	1	Mango Chutney
3155	57	1	0	Mango Chutney
3156	57	1	5	Lime Pickle
3157	47	1	2	Mint Sauce
3158	34	1	0	Mango Chutney
3159	43	0	1	Mint Sauce
3160	63	1	2	Mango Chutney
3161	48	0	5	Onion Chutney
3162	15	0	4	Mango Chutney
3163	25	0	1	Mint Sauce
3164	49	0	0	Red Sauce
3165	26	0	5	Red Sauce
3166	44	0	0	Onion Chutney
3167	57	0	3	Mango Chutney
3168	46	1	1	Red Sauce
3169	29	1	1	Mint Sauce
3170	51	1	1	Onion Chutney
3171	28	0	0	Onion Chutney
3172	31	1	2	Onion Chutney
3173	31	1	1	Red Sauce
3174	36	1	1	Onion Chutney
3175	17	1	2	Mango Chutney
3176	64	1	2	Lime Pickle
3177	24	1	3	Mango Chutney
3178	38	0	1	Mango Chutney
3179	63	1	3	Mango Chutney
3180	56	0	2	Mint Sauce
3181	35	1	0	Onion Chutney
3182	49	0	0	Onion Chutney
3183	48	1	2	Onion Chutney
3184	38	1	5	Red Sauce
3185	41	1	4	Mint Sauce
3186	62	1	3	Mango Chutney
3187	67	1	2	Mango Chutney
3188	25	1	3	Lime Pickle
3189	68	1	2	Mango Chutney
3190	29	0	5	Mint Sauce
3191	63	1	4	Onion Chutney
3192	56	0	3	Onion Chutney
3193	61	1	3	Red Sauce
3194	43	1	3	Mango Chutney
3195	19	0	1	Mango Chutney
3196	46	1	2	Onion Chutney
3197	51	1	1	Mint Sauce
3198	56	0	1	Mint Sauce
3199	62	0	1	Mint Sauce
3200	31	0	5	Mint Sauce
3201	58	0	1	Lime Pickle
3202	55	0	4	Red Sauce
3203	28	0	4	Mint Sauce
3204	28	1	1	Mango Chutney
3205	52	1	2	Mint Sauce
3206	33	1	1	Mint Sauce
3207	59	0	2	Mango Chutney
3208	34	0	2	Lime Pickle
3209	34	0	5	Mango Chutney
3210	52	1	0	Onion Chutney
3211	67	1	2	Mint Sauce
3212	24	0	1	Mango Chutney
3213	19	0	4	Mango Chutney
3214	41	0	1	Mango Chutney
3215	22	1	5	Mint Sauce
3216	54	1	5	Mango Chutney
3217	50	1	1	Mint Sauce
3218	22	1	5	Mango Chutney
3219	45	1	4	Mango Chutney
3220	36	1	5	Red Sauce
3221	25	1	3	Onion Chutney
3222	17	1	0	Mango Chutney
3223	35	0	4	Mango Chutney
3224	59	1	5	Mint Sauce
3225	19	0	3	Mint Sauce
3226	51	0	4	Mango Chutney
3227	20	0	2	Lime Pickle
3228	37	1	0	Red Sauce
3229	47	1	2	Mango Chutney
3230	33	1	2	Mint Sauce
3231	17	0	4	Mint Sauce
3232	51	0	3	Mango Chutney
3233	69	0	5	Onion Chutney
3234	58	1	5	Red Sauce
3235	62	0	2	Onion Chutney
3236	65	1	2	Mango Chutney
3237	49	1	2	Onion Chutney
3238	54	1	1	Mango Chutney
3239	57	1	4	Mango Chutney
3240	40	1	3	Onion Chutney
3241	17	1	1	Mint Sauce
3242	65	1	4	Mint Sauce
3243	58	0	0	Red Sauce
3244	22	0	1	Mango Chutney
3245	37	1	5	Mango Chutney
3246	69	0	3	Onion Chutney
3247	63	0	0	Lime Pickle
3248	58	0	1	Onion Chutney
3249	29	0	0	Mint Sauce
3250	24	1	3	Mango Chutney
3251	28	0	4	Mint Sauce
3252	38	0	3	Mint Sauce
3253	27	0	5	Mango Chutney
3254	59	1	5	Mango Chutney
3255	34	0	4	Mango Chutney
3256	49	1	1	Mango Chutney
3257	64	0	5	Onion Chutney
3258	47	1	1	Mango Chutney
3259	63	0	1	Onion Chutney
3260	57	1	0	Mango Chutney
3261	64	1	3	Onion Chutney
3262	41	1	3	Mango Chutney
3263	19	0	1	Onion Chutney
3264	31	1	0	Onion Chutney
3265	63	1	3	Mango Chutney
3266	34	1	1	Red Sauce
3267	29	0	4	Mango Chutney
3268	21	0	1	Mint Sauce
3269	41	0	1	Mango Chutney
3270	16	0	4	Mint Sauce
3271	45	0	1	Mango Chutney
3272	55	0	1	Red Sauce
3273	25	0	5	Mango Chutney
3274	45	0	0	Onion Chutney
3275	20	1	5	Mango Chutney
3276	21	0	2	Mango Chutney
3277	43	1	4	Red Sauce
3278	52	1	1	Red Sauce
3279	21	0	1	Mint Sauce
3280	40	0	2	Mango Chutney
3281	32	1	2	Onion Chutney
3282	19	1	0	Onion Chutney
3283	69	1	1	Onion Chutney
3284	35	0	2	Mango Chutney
3285	23	1	0	Mango Chutney
3286	48	1	3	Mint Sauce
3287	65	1	3	Red Sauce
3288	15	0	4	Lime Pickle
3289	23	1	4	Mint Sauce
3290	23	1	5	Mango Chutney
3291	25	1	3	Mint Sauce
3292	17	0	3	Mint Sauce
3293	36	0	4	Mango Chutney
3294	61	1	3	Onion Chutney
3295	49	0	5	Mint Sauce
3296	31	0	3	Mango Chutney
3297	69	1	2	Onion Chutney
3298	34	1	0	Mint Sauce
3299	58	0	1	Mint Sauce
3300	65	0	0	Mint Sauce
3301	56	1	0	Red Sauce
3302	27	0	1	Mango Chutney
3303	61	0	1	Mango Chutney
3304	57	1	0	Lime Pickle
3305	36	0	4	Red Sauce
3306	15	0	4	Onion Chutney
3307	64	1	3	Mint Sauce
3308	53	1	5	Mint Sauce
3309	59	0	2	Mango Chutney
3310	31	1	1	Mint Sauce
3311	44	0	2	Mint Sauce
3312	64	0	1	Onion Chutney
3313	27	0	1	Mango Chutney
3314	58	0	1	Mango Chutney
3315	66	1	1	Mango Chutney
3316	18	1	0	Mango Chutney
3317	36	0	2	Onion Chutney
3318	43	1	3	Mint Sauce
3319	18	1	1	Mint Sauce
3320	15	0	3	Mango Chutney
3321	55	1	0	Mint Sauce
3322	23	1	5	Mint Sauce
3323	29	0	4	Onion Chutney
3324	67	1	0	Onion Chutney
3325	20	1	4	Onion Chutney
3326	59	0	3	Onion Chutney
3327	55	1	0	Mango Chutney
3328	64	0	1	Mint Sauce
3329	46	0	1	Red Sauce
3330	55	1	4	Onion Chutney
3331	38	0	2	Mango Chutney
3332	34	0	3	Onion Chutney
3333	44	1	4	Mango Chutney
3334	32	1	2	Onion Chutney
3335	57	1	5	Mint Sauce
3336	39	1	0	Red Sauce
3337	37	1	5	Mint Sauce
3338	23	1	3	Mango Chutney
3339	50	0	5	Onion Chutney
3340	60	1	5	Onion Chutney
3341	55	0	4	Onion Chutney
3342	45	0	0	Mango Chutney
3343	50	1	1	Red Sauce
3344	32	0	0	Mango Chutney
3345	66	0	0	Mint Sauce
3346	58	1	4	Mango Chutney
3347	32	1	0	Mint Sauce
3348	53	0	3	Mint Sauce
3349	50	1	3	Onion Chutney
3350	33	0	4	Mint Sauce
3351	46	1	2	Mango Chutney
3352	46	1	4	Mango Chutney
3353	28	0	0	Onion Chutney
3354	69	0	4	Onion Chutney
3355	40	1	4	Mango Chutney
3356	21	1	5	Mango Chutney
3357	69	0	3	Lime Pickle
3358	55	1	0	Mint Sauce
3359	45	0	5	Onion Chutney
3360	47	1	1	Mango Chutney
3361	23	1	4	Onion Chutney
3362	37	1	0	Red Sauce
3363	53	0	4	Mint Sauce
3364	60	1	3	Mango Chutney
3365	31	0	4	Mango Chutney
3366	44	1	3	Mint Sauce
3367	54	0	3	Red Sauce
3368	34	0	5	Red Sauce
3369	44	1	2	Mango Chutney
3370	27	0	5	Onion Chutney
3371	64	1	4	Lime Pickle
3372	27	1	4	Onion Chutney
3373	62	0	2	Mango Chutney
3374	17	0	3	Mango Chutney
3375	22	0	1	Mango Chutney
3376	41	1	3	Onion Chutney
3377	21	1	5	Onion Chutney
3378	37	1	0	Mint Sauce
3379	26	0	1	Red Sauce
3380	23	1	5	Mango Chutney
3381	48	0	5	Onion Chutney
3382	49	0	3	Mint Sauce
3383	43	0	0	Onion Chutney
3384	46	0	4	Onion Chutney
3385	68	1	1	Mint Sauce
3386	43	1	5	Red Sauce
3387	41	0	1	Mango Chutney
3388	44	1	3	Onion Chutney
3389	69	0	4	Onion Chutney
3390	66	0	5	Red Sauce
3391	19	0	4	Onion Chutney
3392	43	1	4	Mango Chutney
3393	38	1	5	Red Sauce
3394	34	1	1	Mango Chutney
3395	51	0	4	Mint Sauce
3396	22	0	3	Lime Pickle
3397	65	1	2	Mango Chutney
3398	37	1	0	Red Sauce
3399	33	1	2	Onion Chutney
3400	50	0	3	Mint Sauce
3401	32	1	2	Mango Chutney
3402	56	1	0	Onion Chutney
3403	35	0	3	Red Sauce
3404	29	0	0	Mint Sauce
3405	15	1	0	Mango Chutney
3406	33	0	5	Mango Chutney
3407	47	1	2	Mint Sauce
3408	18	1	0	Mint Sauce
3409	41	1	4	Mint Sauce
3410	19	0	1	Mango Chutney
3411	58	0	1	Red Sauce
3412	48	1	3	Mango Chutney
3413	15	0	3	Mango Chutney
3414	57	1	0	Mango Chutney
3415	22	0	0	Lime Pickle
3416	48	1	1	Mango Chutney
3417	60	1	3	Mint Sauce
3418	52	0	3	Mango Chutney
3419	38	1	5	Red Sauce
3420	50	0	5	Mango Chutney
3421	33	0	3	Mango Chutney
3422	43	1	4	Mint Sauce
3423	30	0	4	Mint Sauce
3424	60	0	1	Mango Chutney
3425	69	1	3	Mint Sauce
3426	25	1	3	Onion Chutney
3427	49	0	0	Onion Chutney
3428	42	1	5	Red Sauce
3429	57	1	5	Onion Chutney
3430	53	0	4	Onion Chutney
3431	39	1	5	Mango Chutney
3432	50	0	3	Mango Chutney
3433	67	0	4	Mango Chutney
3434	27	0	5	Red Sauce
3435	60	0	1	Mint Sauce
3436	50	0	4	Mango Chutney
3437	42	1	2	Mint Sauce
3438	57	0	2	Red Sauce
3439	60	1	3	Red Sauce
3440	24	1	3	Onion Chutney
3441	37	1	1	Lime Pickle
3442	44	1	2	Mint Sauce
3443	42	1	5	Lime Pickle
3444	46	0	5	Mango Chutney
3445	37	0	2	Mango Chutney
3446	20	0	2	Onion Chutney
3447	62	0	5	Lime Pickle
3448	46	0	5	Mint Sauce
3449	48	1	2	Red Sauce
3450	19	1	1	Onion Chutney
3451	49	0	5	Onion Chutney
3452	68	0	0	Lime Pickle
3453	29	1	3	Mango Chutney
3454	18	1	5	Mango Chutney
3455	20	1	5	Mint Sauce
3456	37	1	0	Mango Chutney
3457	32	1	1	Mango Chutney
3458	35	0	3	Mint Sauce
3459	46	1	4	Mint Sauce
3460	45	1	4	Mango Chutney
3461	66	1	3	Red Sauce
3462	47	0	0	Mango Chutney
3463	22	1	3	Mint Sauce
3464	26	1	2	Onion Chutney
3465	22	0	3	Mango Chutney
3466	40	0	3	Red Sauce
3467	28	1	3	Mint Sauce
3468	68	1	0	Onion Chutney
3469	32	1	1	Lime Pickle
3470	57	1	4	Mango Chutney
3471	68	0	4	Red Sauce
3472	31	1	2	Onion Chutney
3473	21	1	4	Mint Sauce
3474	47	1	1	Mango Chutney
3475	37	0	2	Mango Chutney
3476	64	1	4	Mango Chutney
3477	21	0	2	Mint Sauce
3478	35	0	2	Lime Pickle
3479	54	1	5	Onion Chutney
3480	37	0	4	Mango Chutney
3481	47	1	4	Mint Sauce
3482	67	0	0	Mint Sauce
3483	23	1	3	Mango Chutney
3484	20	0	2	Mango Chutney
3485	69	1	2	Mango Chutney
3486	34	1	5	Onion Chutney
3487	42	0	1	Red Sauce
3488	45	1	4	Mint Sauce
3489	31	0	5	Mint Sauce
3490	68	1	1	Mango Chutney
3491	40	0	1	Red Sauce
3492	46	0	0	Mango Chutney
3493	16	1	2	Mint Sauce
3494	47	1	3	Mint Sauce
3495	69	1	1	Mint Sauce
3496	55	1	0	Mango Chutney
3497	31	1	1	Mango Chutney
3498	58	0	3	Onion Chutney
3499	37	0	4	Red Sauce
3500	43	0	2	Mango Chutney
3501	16	0	3	Mango Chutney
3502	31	0	4	Mint Sauce
3503	31	1	2	Mint Sauce
3504	24	1	3	Mint Sauce
3505	34	1	2	Mango Chutney
3506	27	1	2	Lime Pickle
3507	52	1	0	Lime Pickle
3508	32	0	5	Mint Sauce
3509	16	0	2	Mint Sauce
3510	47	0	0	Mango Chutney
3511	20	0	2	Onion Chutney
3512	32	1	2	Mango Chutney
3513	47	0	5	Onion Chutney
3514	29	1	2	Mango Chutney
3515	66	0	5	Onion Chutney
3516	50	1	1	Red Sauce
3517	18	0	2	Onion Chutney
3518	65	0	4	Lime Pickle
3519	56	1	4	Red Sauce
3520	65	0	1	Onion Chutney
3521	68	0	5	Lime Pickle
3522	57	0	2	Mango Chutney
3523	22	0	2	Red Sauce
3524	36	0	4	Mint Sauce
3525	21	1	5	Mango Chutney
3526	36	1	1	Lime Pickle
3527	46	0	5	Red Sauce
3528	23	0	0	Onion Chutney
3529	37	0	4	Mango Chutney
3530	65	1	3	Lime Pickle
3531	36	1	0	Red Sauce
3532	42	0	2	Red Sauce
3533	65	1	3	Onion Chutney
3534	28	0	5	Onion Chutney
3535	31	0	3	Mint Sauce
3536	42	0	2	Mango Chutney
3537	40	1	0	Mango Chutney
3538	55	1	1	Mango Chutney
3539	42	0	2	Red Sauce
3540	62	1	2	Mango Chutney
3541	58	0	2	Onion Chutney
3542	24	1	4	Mint Sauce
3543	51	1	2	Mint Sauce
3544	16	1	1	Red Sauce
3545	19	0	2	Onion Chutney
3546	57	0	3	Mango Chutney
3547	22	1	4	Red Sauce
3548	60	1	5	Mint Sauce
3549	44	0	0	Mango Chutney
3550	23	0	0	Red Sauce
3551	63	1	3	Mango Chutney
3552	56	1	0	Mint Sauce
3553	28	1	1	Mango Chutney
3554	65	0	0	Red Sauce
3555	52	0	5	Mango Chutney
3556	34	0	5	Mango Chutney
3557	45	1	4	Red Sauce
3558	38	1	0	Mango Chutney
3559	50	1	3	Red Sauce
3560	59	1	5	Mint Sauce
3561	37	0	1	Mint Sauce
3562	19	1	0	Onion Chutney
3563	16	1	0	Mint Sauce
3564	24	1	4	Red Sauce
3565	36	0	2	Red Sauce
3566	46	1	3	Lime Pickle
3567	38	1	5	Mango Chutney
3568	52	1	1	Mint Sauce
3569	59	1	5	Red Sauce
3570	48	1	3	Mango Chutney
3571	43	0	1	Onion Chutney
3572	62	1	3	Mango Chutney
3573	65	1	1	Onion Chutney
3574	49	1	2	Mint Sauce
3575	67	1	2	Red Sauce
3576	68	0	3	Mango Chutney
3577	25	1	2	Mango Chutney
3578	69	0	4	Mango Chutney
